"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensgene","symbol"
"ENSG00000170906.16",1191.92228108337,-0.166297558387294,0.0660646668933572,-2.51719362569003,0.0118293800230768,0.0501787488560142,"ENSG00000170906","NDUFA3"
"ENSG00000170915.9",845.369128014252,-0.15667639997663,0.0586503224995375,-2.6713646796719,0.00755435248412194,0.0352526971963221,"ENSG00000170915","PAQR8"
"ENSG00000170917.14",254.55486901166,-0.117978531486745,0.1518816489397,-0.776779369399554,0.437288950533519,0.634294068514869,"ENSG00000170917","NUDT6"
"ENSG00000170919.16",1867.90216688575,0.218982197186625,0.0658673856357028,3.32459221013819,0.000885479464119684,0.00632070228878524,"ENSG00000170919","TPT1-AS1"
"ENSG00000170921.16",13649.9023984861,0.0312049916570563,0.0589125643265707,0.529683133195107,0.59633164422127,0.759283793568188,"ENSG00000170921","TANC2"
"ENSG00000170946.15",1432.63219334338,0.065454760520025,0.0625853196004788,1.04584846634744,0.295631000364335,0.49587781027021,"ENSG00000170946","DNAJC24"
"ENSG00000170949.18",2356.1309967754,0.0360406901204458,0.0400395719146289,0.900126759529063,0.368052796859524,0.569155229266805,"ENSG00000170949","ZNF160"
"ENSG00000170954.12",1293.1544971105,0.126365308573474,0.0727305343095226,1.73744507411008,0.0823086410518799,0.210291539336958,"ENSG00000170954","ZNF415"
"ENSG00000170962.13",2580.62606123286,-0.0221678769383488,0.0376657311411082,-0.58854232393102,0.556168334036772,0.731353396300979,"ENSG00000170962","PDGFD"
"ENSG00000170989.10",309.995747450871,-0.399705187355668,0.110323827928343,-3.62301775474363,0.000291185826615729,0.00249682784523404,"ENSG00000170989","S1PR1"
"ENSG00000171004.19",3366.10186919667,-0.115846819157937,0.0317387650818693,-3.65001029054261,0.00026222980311513,0.00228488217064266,"ENSG00000171004","HS6ST2"
"ENSG00000171016.13",912.155001168223,-0.515171929664026,0.11248421642487,-4.57994860112768,4.65090211869455e-06,6.85690075739521e-05,"ENSG00000171016","PYGO1"
"ENSG00000171033.13",31754.4079230302,0.0423396429254797,0.0305512036407502,1.38585842388893,0.165790138311341,0.339134484910078,"ENSG00000171033","PKIA"
"ENSG00000171044.11",455.042306765605,0.567096136697443,0.0921461499277476,6.1543117877644,7.54042120545392e-10,2.64854624720745e-08,"ENSG00000171044","XKR6"
"ENSG00000171045.16",374.426350300072,-0.11111957954766,0.136102803517806,-0.816438579335525,0.414249339075656,0.614680932533409,"ENSG00000171045","TSNARE1"
"ENSG00000171055.15",3134.01312753527,-0.0239175410315855,0.0343334022090497,-0.696626011193299,0.486036873198947,0.675148015997506,"ENSG00000171055","FEZ2"
