"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"1542","ENSG00000213064.10",12.1378714836648,-0.51796820254603,0.453305259927364,-1.14264767770184,0.253184901673878,0.40677122579672,"SFT2D2"
"1543","ENSG00000214262.4",210.381570355809,-0.728841564443084,0.173054038393048,-4.2116414688209,2.53521703473217e-05,0.000145994040510121,"ANKRD36BP1"
"1544","ENSG00000143196.5",0.607333403562118,-0.756762657275959,2.21762552693739,-0.341249073878163,0.732916082417249,NA,"DPT"
"1545","ENSG00000143153.13",403.053172383543,0.0569841057535678,0.103948765548894,0.548194155579122,0.583558594702132,0.724088882731032,"ATP1B1"
"1546","ENSG00000143156.14",328.864962938175,-0.253638939682114,0.152760882802233,-1.66036576268337,0.0968408933886003,0.19794478280575,"NME7"
"1547","ENSG00000117475.14",23.2225018154816,1.2041836830339,0.347934889314807,3.46094548151039,0.000538281811000908,0.00235700385749006,"BLZF1"
"1548","ENSG00000117477.12",19.4271603293749,0.870454952222731,0.362752171946946,2.39958577656715,0.0164136337520948,0.0465436379294599,"CCDC181"
"1549","ENSG00000117479.15",6.10415669176575,0.0778545966163536,0.656845848569044,0.118527957185026,0.905649344595976,0.949315863352071,"SLC19A2"
"1550","ENSG00000213062.5",1.13710063156922,3.57410317447511,1.77816186043841,2.00999878244711,0.0444313177229376,0.106239717377314,"Z99572.1"
"1551","ENSG00000198734.12",0.731055701388241,1.90292681461753,2.04465502244053,0.930683559687328,0.352017276378598,NA,"F5"
"1552","ENSG00000000460.17",447.914374405899,1.24996691642992,0.119022107116125,10.5019726731134,8.45935500508964e-26,3.49424232678984e-24,"C1orf112"
"1553","ENSG00000171806.12",11.4838427628619,0.0140552458864265,0.491742823778136,0.0285825134740918,0.977197558613058,0.988262993859786,"METTL18"
"1554","ENSG00000000457.14",475.362545244237,0.334143939494763,0.110106648097266,3.03472992111783,0.00240751171695337,0.00890554753955867,"SCYL3"
"1555","ENSG00000239494.2",1.82031068664554,-2.07006284446729,1.3906599804251,-1.48854707376745,0.136606677476848,0.256365413566821,"RN7SL333P"
"1556","ENSG00000075945.13",18.2005034831184,0.118873614363535,0.370393336127623,0.320938858150989,0.748256725760711,0.850215838998108,"KIFAP3"
"1557","ENSG00000232959.1",186.386489871512,0.219873989965066,0.157582064038062,1.39529832476339,0.162925897046345,0.292496537553231,"AL356475.1"
"1558","ENSG00000231407.6",2.64513432901528,-1.84476603016135,1.05735412665191,-1.74470026991125,0.0810370563080633,0.171786775945683,"GORAB-AS1"
"1559","ENSG00000120370.12",6.72217756684467,0.910611571103845,0.620598569250856,1.46731174743615,0.142291269483264,0.264557150082105,"GORAB"
"1560","ENSG00000010932.17",1.26531759374485,-0.775664952868842,1.51338344044086,-0.512536963297871,0.608275257741669,0.742993687484233,"FMO1"
"1561","ENSG00000285665.1",0.592660106360782,0.429734242250803,2.2335948465802,0.192395788747793,0.847432190875751,NA,"AL031274.1"
"1562","ENSG00000117523.16",541.546668183575,0.995950433579766,0.10660536357902,9.34240454835586,9.4170724077563e-21,2.77845676530631e-19,"PRRC2C"
"1563","ENSG00000117533.15",1.32407661556106,0.0967545251509948,1.36287569030731,0.0709929202194354,0.943403390121286,0.969013055791055,"VAMP4"
"1564","ENSG00000010165.20",67.7376122116401,-0.49324661534772,0.201997221850967,-2.44184851072673,0.0146122768184037,0.0421346149619677,"EEF1AKNMT"
"1565","ENSG00000197959.14",2.91102662844356,1.43718554584038,1.00159880505767,1.43489143415824,0.151318037010607,0.276769623598644,"DNM3"
"1566","ENSG00000230630.5",1.85843269876119,-0.368879453932879,1.17277939637837,-0.314534391610226,0.753115200132661,0.852916837438183,"DNM3OS"
"1567","ENSG00000283152.1",14.8044765754524,-1.30210541474847,0.431702814063705,-3.01620784560446,0.00255957743462611,0.00938401290612645,"MIR3120"
"1568","ENSG00000135845.10",13.227980098743,-0.590080295475398,0.471640202714549,-1.25112382718683,0.21088930362384,0.356249656892721,"PIGC"
"1569","ENSG00000094975.14",31.4525789206383,0.408849602554625,0.289448517169204,1.41251234089281,0.157799159573818,0.28541178041143,"SUCO"
"1570","ENSG00000224000.1",1.05484327742516,3.45764627096244,1.79336278696936,1.92802387564068,0.0538521565011238,0.124110973724024,"Z97198.1"
"1571","ENSG00000120337.8",3.24611379484605,-0.844550691440141,0.872755958304668,-0.967682527290543,0.333202946997148,0.495046501045258,"TNFSF18"
"1572","ENSG00000203739.4",16.5569665126603,-0.00221334004782412,0.438526670407767,-0.00504721878321799,0.995972919155806,0.997959105587673,"AL645568.1"
"1573","ENSG00000117592.9",62.7555279533676,0.0439279256100128,0.238205279995379,0.184412056738897,0.853690212114961,0.918848913501076,"PRDX6"
"1574","ENSG00000238272.1",0.877643619792268,-2.45112001802136,1.82855018528014,-1.34047183268631,0.18009199584087,NA,"AL139142.1"
"1575","ENSG00000076321.11",22.1186038943174,1.07299414475847,0.372632225827362,2.87949906204724,0.00398307482683129,0.0138015422215281,"KLHL20"
"1576","ENSG00000200674.1",1.12486314564187,-0.446444886133238,1.67851424982297,-0.26597622640399,0.790257518326935,0.87577194208642,"RN7SKP160"
"1577","ENSG00000120334.15",122.798394668342,-0.674371197233023,0.169459954297232,-3.97953132956816,6.90512602907378e-05,0.000365477666253192,"CENPL"
"1578","ENSG00000117593.12",112.479454048487,0.516791420352286,0.170786799233938,3.0259447607798,0.00247857579754863,0.00913603315448907,"DARS2"
"1579","ENSG00000234741.8",163.755517213887,-0.0882168414005571,0.142482434889642,-0.619141871549879,0.535822901431065,0.685006168461779,"GAS5"
"1580","ENSG00000270084.2",408.218158742362,0.364988523680223,0.101603437358289,3.59228519398557,0.000327790825880436,0.00149832259253519,"GAS5-AS1"
"1581","ENSG00000185278.15",14.6005189511053,-0.0261174788628559,0.444407713481848,-0.0587691844010325,0.953135953307375,0.974253247368182,"ZBTB37"
"1582","ENSG00000135870.12",20.8274126307177,1.14164215937098,0.36697738819303,3.11093325120749,0.00186497090320376,0.00713149047209663,"RC3H1"
"1583","ENSG00000152061.23",28.7300187138755,0.77384461675893,0.331700070874703,2.33296488215477,0.0196499885372825,0.0543451419624355,"RABGAP1L"
"1584","ENSG00000287697.1",55.9231047962883,-0.1412634167128,0.238914791571466,-0.591271121321695,0.554338775922169,0.700234130364987,"Z99127.4"
"1585","ENSG00000116161.18",142.025392696503,-0.682839427640932,0.147910836340948,-4.6165611968208,3.90151008853229e-06,2.57336129492115e-05,"CACYBP"
"1586","ENSG00000120333.4",64.0309513928265,-1.00594297396769,0.239352486365002,-4.2027680148418,2.63670773312545e-05,0.000151136178735699,"MRPS14"
"1587","ENSG00000235750.10",1.56930733862887,-4.20336715323035,1.49389088212161,-2.81370426952521,0.00489742597830498,0.0165014915291822,"KIAA0040"
"1588","ENSG00000260990.1",0.875220560247773,-1.47322768839493,1.85494984520973,-0.794214297599166,0.427070686397366,NA,"Z94057.1"
"1589","ENSG00000227740.2",0.751312593385437,-0.0988468258266337,2.04713272678963,-0.0482854992903405,0.961488710964024,NA,"LINC02803"
"1590","ENSG00000230777.1",5.50866344242453,-0.815620896792687,0.698808724402143,-1.1671590069092,0.243146162107159,0.39491169303928,"RPS29P5"
"1591","ENSG00000143207.21",35.7071800631053,0.607159054041751,0.277171343262596,2.19055493578397,0.0284840152518807,0.0740561985836663,"COP1"
"1592","ENSG00000228686.2",1.8662169179174,-0.713184128939169,1.30053962455737,-0.548375547713048,0.583434062830433,0.724006832059688,"AL590723.1"
"1593","ENSG00000116183.11",0.486952688841671,-0.183842854179196,2.5647892555165,-0.0716795166635139,0.942856957558424,NA,"PAPPA2"
